population,weight,se,target
Lebanon_MBA.SG,0.3093067944914991,0.03465761309567551,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.08688185299329414,0.016415746230813412,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.43939277199151644,0.025743385752180735,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.1644185805236903,0.024379093669803047,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.42998090173944964,0.0359353924855621,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.17782816595736833,0.01702805719529832,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.27680336705315056,0.02569945442158479,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.11538756525003159,0.026542852785901808,Jew_Moroccan.HO
Lebanon_MBA.SG,0.5533100097879304,0.03608669695134518,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.16553626549254452,0.01753001076556339,Jew_Tunisian.HO
Italy_PianSultano_BA.SG,0.20247538813102003,0.025833673896465587,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.07867833658850511,0.028714658429404284,Jew_Tunisian.HO
Lebanon_MBA.SG,0.5228033309848035,0.03464310856716789,Jew_Libyan.HO
CanaryIslands_Guanche.SG,0.20579836580946487,0.016771262327989287,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.1986209142927582,0.02468706899108109,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.07277738891297356,0.028110226213850426,Jew_Libyan.HO
Lebanon_MBA.SG,0.8365356042143139,0.018581564785171333,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.1634643957856861,0.018581564785171322,Jew_Yemenite.HO
Lebanon_MBA.SG,0.6270821933943836,0.02880059246296487,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.3729178066056163,0.028800592462964833,Jew_Iranian.HO
Lebanon_MBA.SG,0.7314359989032823,0.03383231181186323,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.2685640010967178,0.03383231181186336,Jew_Iraqi.HO
Lebanon_MBA.SG,0.5456929299164289,0.031582408682766246,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.05853820309118854,0.030171033636441927,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.39576886699238256,0.03182271480877365,Jew_Georgian.HO
Lebanon_MBA.SG,0.48073646361820044,0.031912843329712524,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.09264032603362181,0.015076759269126855,Jew_Turkish.HO
Italy_PianSultano_BA.SG,0.33422438049063896,0.022855980200333845,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.0923988298575389,0.022714914650273584,Jew_Turkish.HO
Lebanon_MBA.SG,0.5806417182400367,0.034553497699173236,Lebanese.HO
CanaryIslands_Guanche.SG,0.13674130915624058,0.01817148035779805,Lebanese.HO
Tajikistan_Ksirov_Kushan,0.2826169726037227,0.026159876346976123,Lebanese.HO
Lebanon_MBA.SG,0.6642407879081064,0.027799832414350946,Cypriot.HO
Italy_PianSultano_BA.SG,0.22480001827992174,0.022776237282374844,Cypriot.HO
Tajikistan_Ksirov_Kushan,0.11095919381197186,0.025134473366957066,Cypriot.HO
Lebanon_MBA.SG,0.6381090803586045,0.03584295814636009,Palestinian.HO
CanaryIslands_Guanche.SG,0.1967788236155173,0.017030596065337134,Palestinian.HO
Tajikistan_Ksirov_Kushan,0.16511209602587815,0.028649367431657337,Palestinian.HO
Lebanon_MBA.SG,0.556726524652859,0.0471994146093624,Syrian.HO
CanaryIslands_Guanche.SG,0.15424852067468053,0.02134038506197003,Syrian.HO
Tajikistan_Ksirov_Kushan,0.2890249546724606,0.035808577595460855,Syrian.HO
Lebanon_MBA.SG,0.34856824324545527,0.03902216755492126,Italian_South.HO
CanaryIslands_Guanche.SG,0.04949591627133455,0.01747075456388667,Italian_South.HO
Italy_PianSultano_BA.SG,0.48345253561068935,0.030204832211833208,Italian_South.HO
Tajikistan_Ksirov_Kushan,0.11848330487252079,0.03152497849509576,Italian_South.HO
