target,avg_se
Jew_Ashkenazi.HO,0.04921590184581386
Jew_Moroccan.HO,0.03850281561393388
Jew_Moroccan.HO_model2,0.0443332567608415
Jew_Tunisian.HO,1.1376698354596692e-13
Jew_Tunisian.HO_model2,0.03872189382304849
Jew_Tunisian.HO_model3,0.03758864632287323
Jew_Libyan.HO,0.03401960277465617
Jew_Libyan.HO_model2,0.03903144631731728
Jew_Yemenite.HO,0.0367492016296329
Jew_Yemenite.HO_model2,0.04210656819405209
Jew_Iranian.HO,0.04006084622402236
Jew_Iraqi.HO,0.03968849990922883
Jew_Georgian.HO,0.05756146932761784
Jew_Turkish.HO,0.03622153206055349
Jew_Turkish.HO_model2,0.03924438817163561
Lebanese.HO,0.0401726926139089
Cypriot.HO,0.04778098895938052
Palestinian.HO,0.09645439203724197
Syrian.HO,0.03411310429870239
Italian_South.HO,0.03720312627453899
Italian_South.HO_model2,0.04338398220827359
Italian_South.HO_model3,0.042883007052979344
Italian_South.HO_model4,0.02495582544043365
Italian_South.HO_model5,0.04614151798046001
Italian_South.HO_model6,0.0493505389790675
