target,p_value
Jew_Ashkenazi.HO,0.011787989928855958
Jew_Moroccan.HO,0.15843272207364895
Jew_Moroccan.HO_model2,0.08335370440798691
Jew_Tunisian.HO,0.12990917075342626
Jew_Tunisian.HO_model2,0.05693490251182105
Jew_Tunisian.HO_model3,0.11563324111740579
Jew_Libyan.HO,0.26578319063499306
Jew_Libyan.HO_model2,0.12441814562585755
Jew_Yemenite.HO,0.13030626200982268
Jew_Yemenite.HO_model2,0.24085741406767808
Jew_Iranian.HO,0.015509678820822473
Jew_Iraqi.HO,0.48275880915901526
Jew_Georgian.HO,8.363971044119719e-4
Jew_Turkish.HO,0.15041300663383167
Jew_Turkish.HO_model2,0.31566191179292097
Lebanese.HO,0.06276772689497147
Cypriot.HO,0.1290586132682693
Palestinian.HO,0.044845515937303626
Syrian.HO,0.14167210986047674
Italian_South.HO,0.2805859639709022
Italian_South.HO_model2,0.271029461831381
Italian_South.HO_model3,0.20981098081576274
Italian_South.HO_model4,0.0813929620425235
Italian_South.HO_model5,0.22303727197584883
Italian_South.HO_model6,0.23194376391633503
