target,avg_se
Jew_Ashkenazi.HO,0.031115658712286595
Jew_Moroccan.HO,0.028867919005683543
Jew_Moroccan.HO_model2,0.03850281561393388
Jew_Moroccan.HO_model3,0.04934173483040249
Jew_Moroccan.HO_model4,0.0443332567608415
Jew_Tunisian.HO,0.028990952670035063
Jew_Tunisian.HO_model2,0.03758864632287323
Jew_Tunisian.HO_model3,0.046360078393327016
Jew_Libyan.HO,0.026734078607011033
Jew_Libyan.HO_model2,0.03401960277465617
Jew_Libyan.HO_model3,0.04445240823550604
Jew_Libyan.HO_model4,0.03903144631731728
Jew_Yemenite.HO,1.1376698354596692e-13
Jew_Yemenite.HO_model2,0.024529494650390227
Jew_Iranian.HO,0.04006084622402236
Jew_Iraqi.HO,0.03968849990922883
Jew_Georgian.HO,0.041808403020417606
Jew_Cochin.HO,1.1376698354596692e-13
Jew_Turkish.HO,0.026218916860919907
Jew_Turkish.HO_model2,0.03622153206055349
Jew_Turkish.HO_model3,0.027522217447471242
Jew_Turkish.HO_model4,0.03924438817163561
