target,avg_se
Jew_Ashkenazi.HO,0.02727294928770322
Jew_Moroccan.HO,0.029616396393022226
Jew_Tunisian.HO,0.030109209346261486
Jew_Libyan.HO,0.026758558210091765
Jew_Yemenite.HO,0.018585087759051152
Jew_Iranian.HO,0.027358363791745454
Jew_Iraqi.HO,0.035585966022041476
Jew_Georgian.HO,0.04039117089771682
Jew_Turkish.HO,0.025134240045036237
Lebanese.HO,0.023988629635150936
Cypriot.HO,0.029600621073989614
Palestinian.HO,0.021837880307254268
Syrian.HO,0.02725671876888359
Italian_South.HO,0.03569635560142893
