target,p_value
Jew_Ashkenazi.HO,0.09067195654045154
Jew_Ashkenazi.HO_model2,0.10448961220089627
Jew_Moroccan.HO,0.0010760647269671337
Jew_Tunisian.HO,0.05041857297316402
Jew_Libyan.HO,0.012073429828519396
Jew_Yemenite.HO,7.800903564065142e-4
Jew_Iranian.HO,1.1386196657188958e-4
Jew_Iraqi.HO,4.2301404667626155e-9
Jew_Georgian.HO,8.070640392955653e-7
Jew_Turkish.HO,0.013262599756186539
Lebanese.HO,6.581273606620835e-4
Cypriot.HO,5.668542678225357e-4
Palestinian.HO,4.011713721066249e-8
Syrian.HO,5.257393381206907e-10
Italian_South.HO,0.021624039113992348
