population,weight,se,target
Lebanon_MBA.SG,0.20368121666406386,0.088764638819434,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.09646988720691697,0.026754139765425736,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.551954860513355,0.04369424271886563,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.14789403561566417,0.03765058607953009,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.45590367922986985,0.053313424953562616,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.178804487867282,0.02474358513130143,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.3652918329028482,0.037451436756937594,Jew_Moroccan.HO
Lebanon_MBA.SG,0.39357984018321385,0.07810737090567478,Jew_Moroccan.HO_model2
CanaryIslands_Guanche.SG,0.1893882920521834,0.02624340667631689,Jew_Moroccan.HO_model2
Italy_PianSultano_BA.SG,0.37728240092610427,0.03887114245967129,Jew_Moroccan.HO_model2
Tajikistan_Ksirov_Kushan,0.039749466838498344,0.03411110700170306,Jew_Moroccan.HO_model2
Syria_TellQarassa_Umayyad,1,1.1376698354596692e-13,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.03057290391527851,0.038721893823048484,Jew_Tunisian.HO_model2
Syria_TellQarassa_Umayyad,0.9694270960847216,0.0387218938230485,Jew_Tunisian.HO_model2
Lebanon_MBA.SG,0.4865077367473987,0.0519969578157718,Jew_Tunisian.HO_model3
CanaryIslands_Guanche.SG,0.1913865041823199,0.023039711657577792,Jew_Tunisian.HO_model3
Italy_PianSultano_BA.SG,0.32210575907028133,0.0377292694952701,Jew_Tunisian.HO_model3
Lebanon_MBA.SG,0.46007573039522,0.04696562456488279,Jew_Libyan.HO
CanaryIslands_Guanche.SG,0.23016840061392618,0.021986920295756437,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.30975586899085383,0.03310626346332928,Jew_Libyan.HO
Lebanon_MBA.SG,0.4112616448349694,0.06778248883003983,Jew_Libyan.HO_model2
CanaryIslands_Guanche.SG,0.2394556222184277,0.02362245162798304,Jew_Libyan.HO_model2
Italy_PianSultano_BA.SG,0.31740580760071874,0.033511384796140235,Jew_Libyan.HO_model2
Tajikistan_Ksirov_Kushan,0.03187692534588416,0.031209460015106025,Jew_Libyan.HO_model2
CanaryIslands_Guanche.SG,0.1909746660091994,0.03674920162963287,Jew_Yemenite.HO
Syria_TellQarassa_Umayyad,0.8090253339908006,0.03674920162963293,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.2105910899860634,0.03247047490133587,Jew_Yemenite.HO_model2
Tajikistan_Ksirov_Kushan,0.1051556276117928,0.03929585104782169,Jew_Yemenite.HO_model2
Syria_TellQarassa_Umayyad,0.6842532824021439,0.0545533786329987,Jew_Yemenite.HO_model2
Lebanon_MBA.SG,0.6130319444268626,0.0519067333422717,Jew_Iranian.HO
Italy_PianSultano_BA.SG,0.1130274162483007,0.03437951675994157,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.27394063932483664,0.03389628856985382,Jew_Iranian.HO
Lebanon_MBA.SG,0.7389191776932655,0.051289197092698906,Jew_Iraqi.HO
Italy_PianSultano_BA.SG,0.1234402676058598,0.03286269061223364,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.13764055470087475,0.034913612022753955,Jew_Iraqi.HO
Italy_PianSultano_BA.SG,0.15523160744631576,0.05504605237103816,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.37439939663533267,0.04041345161784369,Jew_Georgian.HO
Syria_TellQarassa_Umayyad,0.4703689959183516,0.07722490399397167,Jew_Georgian.HO
Lebanon_MBA.SG,0.45959650829530363,0.051011367156864273,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.098139013363094,0.02226539525406948,Jew_Turkish.HO
Italy_PianSultano_BA.SG,0.44226447834160243,0.0353878337707267,Jew_Turkish.HO
Lebanon_MBA.SG,0.32821371882475175,0.06934087772052065,Jew_Turkish.HO_model2
CanaryIslands_Guanche.SG,0.12444746759900842,0.023089094476783402,Jew_Turkish.HO_model2
Italy_PianSultano_BA.SG,0.4665498290659784,0.03407392394272307,Jew_Turkish.HO_model2
Tajikistan_Ksirov_Kushan,0.08078898451026141,0.030473656546515307,Jew_Turkish.HO_model2
CanaryIslands_Guanche.SG,0.16024183630028271,0.029342118461078353,Lebanese.HO
Tajikistan_Ksirov_Kushan,0.237621892165199,0.03767172494255637,Lebanese.HO
Syria_TellQarassa_Umayyad,0.6021362715345183,0.05350423443809197,Lebanese.HO
Italy_PianSultano_BA.SG,0.3289234071256109,0.04718835783306632,Cypriot.HO
Tajikistan_Ksirov_Kushan,0.10714268331896404,0.0342514625821934,Cypriot.HO
Syria_TellQarassa_Umayyad,0.563933909555425,0.06190314646288185,Cypriot.HO
Lebanon_MBA.SG,0.4029371727372662,0.17634134922381778,Palestinian.HO
CanaryIslands_Guanche.SG,0.2793964209260432,0.019242777279224292,Palestinian.HO
Tajikistan_Ksirov_Kushan,0.12504659695876266,0.03212160519520167,Palestinian.HO
Syria_TellQarassa_Umayyad,0.19261980937792794,0.15811183645072416,Palestinian.HO
Lebanon_MBA.SG,0.5182369821218403,0.04604240721526383,Syrian.HO
CanaryIslands_Guanche.SG,0.2761714236069672,0.02423882411171689,Syrian.HO
Tajikistan_Ksirov_Kushan,0.20559159427119242,0.03205808156912645,Syrian.HO
Lebanon_MBA.SG,0.4409398368560603,0.037203126274539,Italian_South.HO
Italy_PianSultano_BA.SG,0.5590601631439397,0.03720312627453899,Italian_South.HO
Lebanon_MBA.SG,0.32596289107869375,0.06101630230843268,Italian_South.HO_model2
CanaryIslands_Guanche.SG,0.06428353373729782,0.02601765671872809,Italian_South.HO_model2
Italy_PianSultano_BA.SG,0.6097535751840085,0.04311798759765999,Italian_South.HO_model2
Lebanon_MBA.SG,0.41782585817087337,0.05488693730898313,Italian_South.HO_model3
Italy_PianSultano_BA.SG,0.5606867726791388,0.03715084485837959,Italian_South.HO_model3
Tajikistan_Ksirov_Kushan,0.02148736914998779,0.03661123899157531,Italian_South.HO_model3
CanaryIslands_Guanche.SG,0.13669236000753615,0.018474228331751812,Italian_South.HO_model4
Italy_PianSultano_BA.SG,0.7230879029071944,0.027042919185344842,Italian_South.HO_model4
Tajikistan_Ksirov_Kushan,0.1402197370852695,0.02935032880420429,Italian_South.HO_model4
Italy_PianSultano_BA.SG,0.5502179908656796,0.044420107133625646,Italian_South.HO_model5
Tajikistan_Ksirov_Kushan,0.07445319018532746,0.03538194427359466,Italian_South.HO_model5
Syria_TellQarassa_Umayyad,0.37532881894899295,0.05862250253415972,Italian_South.HO_model5
Lebanon_MBA.SG,0.2252685867326994,0.08661168687896935,Italian_South.HO_model6
CanaryIslands_Guanche.SG,0.08249616639970302,0.027549489909980938,Italian_South.HO_model6
Italy_PianSultano_BA.SG,0.6267144466034095,0.04412229877375846,Italian_South.HO_model6
Tajikistan_Ksirov_Kushan,0.06552080026418802,0.03911868035356126,Italian_South.HO_model6
