right
Mbuti.DG
Israel_PPNB
Russia_MA1_HG.SG
Turkey_Boncuklu_N
Turkey_Epipaleolithic
Morocco_Iberomaurusian
Serbia_IronGates_Mesolithic
Luxembourg_Loschbour.DG
Russia_Karelia_HG
Georgia_Kotias.SG
Iran_GanjDareh_N
China_Tianyuan
Indian_GreatAndaman_100BP.SG
Mongolia_North_N
Russia_Tyumen_HG
Israel_Natufian
Jordan_PPNB
