population,weight,se,target
CanaryIslands_Guanche.SG,0.10948245105149253,0.02009356138878193,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.40450675541950815,0.038788612691809006,Jew_Ashkenazi.HO
Syria_TellMasaikh_Medieval.SG,0.48601079352899934,0.04674538877671099,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.16514279241310076,0.03590660811769328,Jew_Ashkenazi.HO_model2
Syria_TellQarassa_Umayyad,0.48230056608879707,0.03415769893131087,Jew_Ashkenazi.HO_model2
France_Occitanie_EBA.SG,0.35255664149810223,0.03347431953360104,Jew_Ashkenazi.HO_model2
Lebanon_MBA.SG,0.3093067944914991,0.03465761309567551,Jew_Ashkenazi.HO_model3
CanaryIslands_Guanche.SG,0.08688185299329414,0.016415746230813412,Jew_Ashkenazi.HO_model3
Italy_PianSultano_BA.SG,0.43939277199151644,0.025743385752180735,Jew_Ashkenazi.HO_model3
Tajikistan_Ksirov_Kushan,0.1644185805236903,0.024379093669803047,Jew_Ashkenazi.HO_model3
Lebanon_MBA.SG,0.4141150449085711,0.042922028467255735,Jew_Ashkenazi.HO_model4
CanaryIslands_Guanche.SG,0.06626260498604572,0.020316616235669695,Jew_Ashkenazi.HO_model4
Tajikistan_Ksirov_Kushan,0.12018386961053014,0.03322519764429905,Jew_Ashkenazi.HO_model4
France_Occitanie_EBA.SG,0.39943848049485303,0.028186268605878907,Jew_Ashkenazi.HO_model4
CanaryIslands_Guanche.SG,0.061144320504573836,0.020795278397616777,Jew_Ashkenazi.HO_model5
Italy_PianSultano_BA.SG,0.4164439874927504,0.0323181978411607,Jew_Ashkenazi.HO_model5
Tajikistan_Ksirov_Kushan,0.19738635922848918,0.026083741828722876,Jew_Ashkenazi.HO_model5
Syria_TellQarassa_Umayyad,0.3250253327741865,0.04165220798806549,Jew_Ashkenazi.HO_model5
CanaryIslands_Guanche.SG,0.03649192423401855,0.02547767101100174,Jew_Ashkenazi.HO_model6
Tajikistan_Ksirov_Kushan,0.1687508753805326,0.03432390821609098,Jew_Ashkenazi.HO_model6
Syria_TellQarassa_Umayyad,0.4331284796864649,0.04862892765586,Jew_Ashkenazi.HO_model6
France_Occitanie_EBA.SG,0.361628720698984,0.034062708740570796,Jew_Ashkenazi.HO_model6
Lebanon_MBA.SG,0.5536775961345869,0.03165748010781555,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.16990130643187784,0.019647670625582092,Jew_Moroccan.HO
France_Occitanie_EBA.SG,0.2764210974335353,0.02228393475282038,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.21615708934413363,0.02332205055139659,Jew_Moroccan.HO_model2
Italy_PianSultano_BA.SG,0.22484550093706634,0.04258582130118964,Jew_Moroccan.HO_model2
Syria_TellMasaikh_Medieval.SG,0.5589974097188002,0.05201465907997443,Jew_Moroccan.HO_model2
CanaryIslands_Guanche.SG,0.21402210480046727,0.025583611708882868,Jew_Moroccan.HO_model3
France_Occitanie_EBA.SG,0.17703556913686513,0.04111203278423921,Jew_Moroccan.HO_model3
Syria_TellMasaikh_Medieval.SG,0.6089423260626676,0.05328191113241125,Jew_Moroccan.HO_model3
Lebanon_MBA.SG,0.42998090173944964,0.0359353924855621,Jew_Moroccan.HO_model4
CanaryIslands_Guanche.SG,0.17782816595736833,0.01702805719529832,Jew_Moroccan.HO_model4
Italy_PianSultano_BA.SG,0.27680336705315056,0.02569945442158479,Jew_Moroccan.HO_model4
Tajikistan_Ksirov_Kushan,0.11538756525003159,0.026542852785901808,Jew_Moroccan.HO_model4
Lebanon_MBA.SG,0.4961452713346488,0.03604570153344038,Jew_Moroccan.HO_model5
CanaryIslands_Guanche.SG,0.1718516138944246,0.018914122942947875,Jew_Moroccan.HO_model5
