right
Cameroon_SMA.DG
Russia_MA1_HG.SG
Morocco_Iberomaurusian
Turkey_Epipaleolithic
Turkey_Boncuklu_N
Georgia_Satsurblia.SG
Iran_TepeAbdulHosein_N.SG
Russia_Karelia_HG
Luxembourg_Loschbour
Jordan_PPNB
Mongolia_North_N
Turkey_Alalakh_MLBA
Russia_Samara_EBA_Yamnaya
Turkey_EBA_II.SG
Greece_BA_Mycenaean
