target,avg_se
Jew_Ashkenazi.HO,0.03520918761910064
Jew_Ashkenazi.HO_model2,0.03451287552753506
Jew_Ashkenazi.HO_model3,0.025298959687118178
Jew_Ashkenazi.HO_model4,0.031162527738275846
Jew_Ashkenazi.HO_model5,0.03021235651389146
Jew_Ashkenazi.HO_model6,0.03562330390588088
Jew_Moroccan.HO,0.024529695162072675
Jew_Moroccan.HO_model2,0.039307510310853555
Jew_Moroccan.HO_model3,0.03999251854184444
Jew_Moroccan.HO_model4,0.026301439222086755
Jew_Moroccan.HO_model5,0.027051911209644966
Jew_Moroccan.HO_model6,0.0336767478397491
Jew_Moroccan.HO_model7,0.03384534495870593
Jew_Tunisian.HO,0.023980618672163775
Jew_Tunisian.HO_model2,0.028033552467742938
Jew_Libyan.HO,0.0365373223633147
Jew_Yemenite.HO,0.018581564785171326
Jew_Iranian.HO,2.4886552404514983e-14
Jew_Iranian.HO_model2,0.03097186313940478
Jew_Iraqi.HO,0.03193010339172629
Jew_Georgian.HO,2.4886552404514983e-14
Jew_Turkish.HO,0.03182418088795466
Jew_Turkish.HO_model2,0.023996754793355314
Jew_Turkish.HO_model3,0.04034367691238841
Jew_Turkish.HO_model4,0.036465677063598295
Jew_Turkish.HO_model5,0.03654389689988056
Jew_Turkish.HO_model6,0.0231401243623617
Jew_Turkish.HO_model7,0.04971155102524193
Jew_Turkish.HO_model8,0.026519354308018044
Jew_Turkish.HO_model9,0.033219355004632634
Jew_Turkish.HO_model10,0.0362531631601137
Lebanese.HO,0.026713703924757026
Cypriot.HO,0.11646699872012703
Palestinian.HO,0.02613876506914172
Syrian.HO,0.027175274846388653
Italian_South.HO,0.03869445772804363
Italian_South.HO_model2,0.036782021182829375
Italian_South.HO_model3,0.042342762127566415
Italian_South.HO_model4,0.029555683206434223
