population,weight,se,target
Lebanon_MBA.SG,0.20368121666406386,0.088764638819434,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.09646988720691697,0.026754139765425736,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.551954860513355,0.04369424271886563,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.14789403561566417,0.03765058607953009,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.39357984018321385,0.07810737090567478,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.1893882920521834,0.02624340667631689,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.37728240092610427,0.03887114245967129,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.039749466838498344,0.03411110700170306,Jew_Moroccan.HO
Lebanon_MBA.SG,0.26379714076338123,0.13071479303950054,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.16237284533296217,0.03271369233493276,Jew_Tunisian.HO
Italy_PianSultano_BA.SG,0.2747669243640248,0.04899453594071702,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.0266858240485501,0.037875768758513374,Jew_Tunisian.HO
Syria_TellQarassa_Umayyad,0.27237726549108154,0.15234516087603717,Jew_Tunisian.HO
Lebanon_MBA.SG,0.4112616448349694,0.06778248883003983,Jew_Libyan.HO
CanaryIslands_Guanche.SG,0.2394556222184277,0.02362245162798304,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.31740580760071874,0.033511384796140235,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.03187692534588416,0.031209460015106025,Jew_Libyan.HO
Lebanon_MBA.SG,0.36321938094616485,0.14449576758129656,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.21049520034542651,0.03073782173932615,Jew_Yemenite.HO
Italy_PianSultano_BA.SG,0.0031195478868396567,0.046422013527712865,Jew_Yemenite.HO
Tajikistan_Ksirov_Kushan,0.04767618072174847,0.037466861069822874,Jew_Yemenite.HO
Syria_TellQarassa_Umayyad,0.3754896900998206,0.1478857082001273,Jew_Yemenite.HO
Lebanon_MBA.SG,0.6130319444268626,0.0519067333422717,Jew_Iranian.HO
Italy_PianSultano_BA.SG,0.1130274162483007,0.03437951675994157,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.27394063932483664,0.03389628856985382,Jew_Iranian.HO
Lebanon_MBA.SG,0.7389191776932655,0.051289197092698906,Jew_Iraqi.HO
Italy_PianSultano_BA.SG,0.1234402676058598,0.03286269061223364,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.13764055470087475,0.034913612022753955,Jew_Iraqi.HO
Lebanon_MBA.SG,0.48928556739374574,0.054906224717607074,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.1858306645876417,0.036025391995206005,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.32488376801861263,0.03449359234843974,Jew_Georgian.HO
Lebanon_MBA.SG,0.3226731756468357,0.11175846214834935,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.12402940589705141,0.027055290231019935,Jew_Turkish.HO
Italy_PianSultano_BA.SG,0.4652219176956103,0.04218273434619435,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.0801594582410336,0.03024568108203852,Jew_Turkish.HO
Syria_TellQarassa_Umayyad,0.007916042519469146,0.1252540863220499,Jew_Turkish.HO
Lebanon_MBA.SG,0.27362956583098086,0.20425984058800678,Lebanese.HO
CanaryIslands_Guanche.SG,0.19551739936302123,0.03150674233891856,Lebanese.HO
Italy_PianSultano_BA.SG,0.07535253981070589,0.046382590998540106,Lebanese.HO
Tajikistan_Ksirov_Kushan,0.2102003376226418,0.036429357723001245,Lebanese.HO
Syria_TellQarassa_Umayyad,0.24530015737265035,0.22289675188104927,Lebanese.HO
Lebanon_MBA.SG,0.007948272539697356,0.4990987056845613,Cypriot.HO
Italy_PianSultano_BA.SG,0.32869287879838344,0.05742047636395382,Cypriot.HO
Tajikistan_Ksirov_Kushan,0.10581276449726928,0.07654762969502642,Cypriot.HO
Syria_TellQarassa_Umayyad,0.5575460841646499,0.46872567168570606,Cypriot.HO
Lebanon_MBA.SG,0.40076129203137917,0.17034322597985252,Palestinian.HO
CanaryIslands_Guanche.SG,0.29232156062801395,0.02524817046962801,Palestinian.HO
Italy_PianSultano_BA.SG,0.03766383060445047,0.04039789627924551,Palestinian.HO
Tajikistan_Ksirov_Kushan,0.13103262554730222,0.02953053270321108,Palestinian.HO
Syria_TellQarassa_Umayyad,0.13822069118885424,0.1900024605306561,Palestinian.HO
Lebanon_MBA.SG,0.5017945205036,0.08042041998585478,Syrian.HO
CanaryIslands_Guanche.SG,0.27862620742922584,0.027952756149909812,Syrian.HO
Italy_PianSultano_BA.SG,0.011808759739748265,0.0374704352376861,Syrian.HO
Tajikistan_Ksirov_Kushan,0.20777051232742594,0.03496211165959018,Syrian.HO
Lebanon_MBA.SG,0.2151817047133949,0.13891233240032042,Italian_South.HO
CanaryIslands_Guanche.SG,0.08124728908973573,0.033485268292669554,Italian_South.HO
Italy_PianSultano_BA.SG,0.624112501890013,0.05259438599730083,Italian_South.HO
Tajikistan_Ksirov_Kushan,0.06587372598318851,0.038959758924271615,Italian_South.HO
Syria_TellQarassa_Umayyad,0.013584778323667869,0.15421048026156264,Italian_South.HO
