population,weight,se,target
Lebanon_MBA.SG,0.20368121666406386,0.088764638819434,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.09646988720691697,0.026754139765425736,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.551954860513355,0.04369424271886563,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.14789403561566417,0.03765058607953009,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.39357984018321385,0.07810737090567478,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.1893882920521834,0.02624340667631689,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.37728240092610427,0.03887114245967129,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.039749466838498344,0.03411110700170306,Jew_Moroccan.HO
Lebanon_MBA.SG,0.4437933388821229,0.08031164272760788,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.20010998343087716,0.02575208535211801,Jew_Tunisian.HO
Italy_PianSultano_BA.SG,0.3304464661030148,0.03886607102052902,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.025650211583985148,0.03715517378327952,Jew_Tunisian.HO
Lebanon_MBA.SG,0.4112616448349694,0.06778248883003983,Jew_Libyan.HO
CanaryIslands_Guanche.SG,0.2394556222184277,0.02362245162798304,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.31740580760071874,0.033511384796140235,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.03187692534588416,0.031209460015106025,Jew_Libyan.HO
Lebanon_MBA.SG,0.642966966384372,0.09216135016899307,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.25111235130986437,0.030105912486164156,Jew_Yemenite.HO
Italy_PianSultano_BA.SG,0.07291962711334826,0.04361840128282,Jew_Yemenite.HO
Tajikistan_Ksirov_Kushan,0.033001055192415335,0.03703841855912677,Jew_Yemenite.HO
Lebanon_MBA.SG,0.6130319444268626,0.0519067333422717,Jew_Iranian.HO
Italy_PianSultano_BA.SG,0.1130274162483007,0.03437951675994157,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.27394063932483664,0.03389628856985382,Jew_Iranian.HO
Lebanon_MBA.SG,0.7389191776932655,0.051289197092698906,Jew_Iraqi.HO
Italy_PianSultano_BA.SG,0.1234402676058598,0.03286269061223364,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.13764055470087475,0.034913612022753955,Jew_Iraqi.HO
Lebanon_MBA.SG,0.48928556739374574,0.054906224717607074,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.1858306645876417,0.036025391995206005,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.32488376801861263,0.03449359234843974,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,1,1.1376698354596692e-13,Jew_Cochin.HO
Lebanon_MBA.SG,0.32821371882475175,0.06934087772052065,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.12444746759900842,0.023089094476783402,Jew_Turkish.HO
Italy_PianSultano_BA.SG,0.4665498290659784,0.03407392394272307,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.08078898451026141,0.030473656546515307,Jew_Turkish.HO
