target,p_value
Jew_Ashkenazi.HO,0.32815881585613993
Jew_Ashkenazi.HO_model2,0.35366655344794995
Jew_Ashkenazi.HO_model3,0.2502770677317546
Jew_Ashkenazi.HO_model4,0.0535846799327197
Jew_Ashkenazi.HO_model5,0.11627898150646794
Jew_Ashkenazi.HO_model6,0.35041768251617694
Jew_Moroccan.HO,0.18290194434859536
Jew_Moroccan.HO_model2,0.28830712389700003
Jew_Moroccan.HO_model3,0.12582279341293282
Jew_Moroccan.HO_model4,0.6139646732313887
Jew_Moroccan.HO_model5,0.6321658318508789
Jew_Moroccan.HO_model6,0.09272166260628982
Jew_Moroccan.HO_model7,0.44892515462036975
Jew_Tunisian.HO,0.056488783758687176
Jew_Tunisian.HO_model2,0.08137395755088733
Jew_Libyan.HO,0.002074848198904818
Jew_Yemenite.HO,6.73496013272797e-5
Jew_Iranian.HO,0.0710877644358446
Jew_Iranian.HO_model2,0.0678489228747253
Jew_Iraqi.HO,0.0035199726239012576
Jew_Georgian.HO,0.18421432123572684
Jew_Turkish.HO,0.06362111450940304
Jew_Turkish.HO_model2,0.09251273908622408
Jew_Turkish.HO_model3,0.08220636552809303
Jew_Turkish.HO_model4,0.050262926929733186
Jew_Turkish.HO_model5,0.3252994155926885
Jew_Turkish.HO_model6,0.5047628285870651
Jew_Turkish.HO_model7,0.5347694864099556
Jew_Turkish.HO_model8,0.11057767332052348
Jew_Turkish.HO_model9,0.13105333421216073
Jew_Turkish.HO_model10,0.31066949559931795
Lebanese.HO,0.023010231752029882
Cypriot.HO,0.024213114571809163
Palestinian.HO,4.437406370637264e-6
Syrian.HO,1.02697084707531e-4
Italian_South.HO,0.2446050199435206
Italian_South.HO_model2,0.06653661071744257
Italian_South.HO_model3,0.1420007654653106
Italian_South.HO_model4,0.15500725678585112
