target,p_value
Jew_Ashkenazi.HO,0.10448961220089627
Jew_Moroccan.HO,8.336557274286645e-4
Jew_Tunisian.HO,1.0264616264448746e-4
Jew_Libyan.HO,3.666638249302079e-4
Jew_Yemenite.HO,4.295754181725091e-6
Jew_Iranian.HO,1.1386196657188958e-4
Jew_Iraqi.HO,4.2301404667626155e-9
Jew_Georgian.HO,8.070640392955653e-7
Jew_Turkish.HO,0.004343801547047204
Lebanese.HO,8.144259716054426e-8
Cypriot.HO,5.668542678225357e-4
Palestinian.HO,1.016066039607651e-16
Syrian.HO,1.295306520866161e-13
Italian_South.HO,0.011228252381874273
