target,p_value
Jew_Ashkenazi.HO,0.2502770677317546
Jew_Moroccan.HO,0.6139646732313887
Jew_Tunisian.HO,0.03648399315168346
Jew_Libyan.HO,3.798706172707114e-4
Jew_Yemenite.HO,6.73496013272797e-5
Jew_Iranian.HO,7.331088633580912e-7
Jew_Iraqi.HO,2.6266808374224858e-8
Jew_Georgian.HO,4.544481946320774e-6
Jew_Turkish.HO,0.5047628285870651
Lebanese.HO,4.873693134220263e-8
Cypriot.HO,0.006038241019245416
Palestinian.HO,4.7303369335727216e-18
Syrian.HO,9.526240122827161e-19
Italian_South.HO,0.15500725678585112
