right
Mbuti.DG
Ami.DG
Basque.DG
Biaka.DG
Bougainville.DG
Chukchi.DG
Eskimo_Naukan.DG
Han.DG
Iran_GanjDareh_N
Ju_hoan_North.DG
Karitiana.DG
Papuan.DG
Sardinian.DG
She.DG
Ulchi.DG
Yoruba.DG
