target,avg_se
Jew_Ashkenazi.HO,0.025298959687118178
Jew_Moroccan.HO,0.026301439222086755
Jew_Tunisian.HO,0.02704126001069461
Jew_Libyan.HO,0.026052916525022174
Jew_Yemenite.HO,0.018581564785171326
Jew_Iranian.HO,0.028800592462964854
Jew_Iraqi.HO,0.033832311811863296
Jew_Georgian.HO,0.03119205237599394
Jew_Turkish.HO,0.0231401243623617
Lebanese.HO,0.02629495146798247
Cypriot.HO,0.025236847687894286
Palestinian.HO,0.02717430721445152
Syrian.HO,0.03478279242226443
Italian_South.HO,0.029555683206434223
